Info 0    [18:15:10.719] Starting TS Server
Info 1    [18:15:10.719] Version: 3.6.3
Info 2    [18:15:10.719] Arguments: /home/jake/.nvm/versions/node/v12.6.0/bin/node /home/jake/.nvm/versions/node/v12.6.0/bin/tsserver --logFile /home/jake/projects/lecture-code/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/17bf3f0737042b912cdd1cddc82f7745/tscancellation*
Info 3    [18:15:10.719] Platform: linux NodeVersion: 12 CaseSensitive: true
Info 4    [18:15:10.728] Search path: /home/jake/projects/lecture-code/20-intro-to-dom-and-dom-manipulation
Info 5    [18:15:10.729] For info: /home/jake/projects/lecture-code/20-intro-to-dom-and-dom-manipulation/index.js :: No config files found.
Info 6    [18:15:10.733] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 7    [18:15:11.323] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 590ms
Info 8    [18:15:11.324] Project '/dev/null/inferredProject1*' (Inferred) 
Info 9    [18:15:11.324] 	Files (6)

Info 10   [18:15:11.324] -----------------------------------------------
Info 11   [18:15:13.31] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 12   [18:15:13.36] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 5ms
Info 13   [18:15:13.37] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 14   [18:15:13.672] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 15   [18:15:13.674] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 2ms
Info 16   [18:15:13.675] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 17   [18:15:13.864] Structure before ensureProjectForOpenFiles:
Info 18   [18:15:13.864] Structure after ensureProjectForOpenFiles:
Info 19   [18:15:13.865] got projects updated in background, updating diagnostics for /home/jake/projects/lecture-code/20-intro-to-dom-and-dom-manipulation/index.js
Info 20   [18:15:13.972] getCompletionData: Get current token: 0
Info 21   [18:15:13.972] getCompletionData: Is inside comment: 0
Info 22   [18:15:13.972] getCompletionData: Get previous token 1: 0
Info 23   [18:15:13.972] getCompletionData: Get previous token 2: 0
Info 24   [18:15:13.972] getCompletionsAtPosition: isCompletionListBlocker: 0
Info 25   [18:15:13.974] getCompletionData: Semantic work: 2
Info 26   [18:15:13.976] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 2
Info 27   [18:15:14.481] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [18:15:14.483] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 2ms
Info 29   [18:15:14.483] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 30   [18:15:14.710] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [18:15:14.713] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 3ms
Info 32   [18:15:14.713] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 33   [18:15:15.912] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [18:15:15.913] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 1ms
Info 35   [18:15:15.913] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 36   [18:15:16.287] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [18:15:16.288] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 1ms
Info 38   [18:15:16.290] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 39   [18:15:16.632] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 40   [18:15:16.638] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 6ms
Info 41   [18:15:16.638] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 42   [18:15:17.273] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 43   [18:15:17.275] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 2ms
Info 44   [18:15:17.275] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 45   [18:15:17.583] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 46   [18:15:17.584] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 1ms
Info 47   [18:15:17.584] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 48   [18:15:17.928] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [18:15:17.929] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 1ms
Info 50   [18:15:17.929] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 51   [18:15:18.215] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [18:15:18.216] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false Elapsed: 1ms
Info 53   [18:15:18.216] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 54   [18:15:18.702] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 55   [18:15:18.703] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false Elapsed: 1ms
Info 56   [18:15:18.703] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 57   [18:15:19.431] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 58   [18:15:19.432] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false Elapsed: 1ms
Info 59   [18:15:19.432] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 60   [18:18:42.502] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 61   [18:18:42.503] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false Elapsed: 1ms
